       ID Treatment
1    6_T1         0
2   14_T1         0
3   17_T1         0
4   74_T1         0
5   79_T1         0
6   83_T1         0
7  106_T1         0
8  107_T1         0
9  139_T1         0
10 147_T1         0
11 150_T1         0
12 152_T1         0
13 161_T1         0
14 162_T1         0
15 164_T1         0
16 165_T1         0
17 169_T1         0
18 176_T1         0
19 182_T1         0
20 183_T1         0
21 195_T1         0
22 196_T1         0
23 199_T1         0
24 202_T1         0
25 206_T1         0
26 207_T1         0
27 211_T1         0
28 219_T1         0
29 220_T1         0
30 225_T1         0
31 226_T1         0
32 232_T1         0
33 233_T1         0
34 244_T1         0
35 245_T1         0
36 248_T1         0
37 249_T1         0
38 254_T1         0
39 258_T1         0
40 260_T1         0
41 264_T1         0
42 266_T1         0
43 268_T1         0
44 272_T1         0
45 273_T1         0
46 281_T1         0
47 282_T1         0
48 740_T2         1
49 744_T2         1
50 746_T2         1
51 748_T2         1
52 751_T2         1
53 752_T2         1
54 759_T2         1
55 762_T2         1
56 763_T2         1
57 766_T2         1
58 769_T2         1
59 774_T2         1
60 778_T2         1
61 779_T2         1
62 781_T2         1
63 786_T2         1
64 788_T2         1
65 790_T2         1
66 797_T2         1
67 798_T2         1
68 799_T2         1
69 802_T2         1
70 807_T2         1
71 810_T2         1
72 815_T2         1
73 816_T2         1
74 817_T2         1
75 819_T2         1
76 823_T2         1
77 826_T2         1
78 830_T2         1
79 831_T2         1
80 838_T2         1
81 840_T2         1
82 843_T2         1
83 844_T2         1
84 847_T2         1
85 850_T2         1
86 856_T2         1
87 857_T2         1
88 861_T2         1
89 863_T2         1
90 865_T2         1
91 870_T2         1
92 873_T2         1
93 875_T2         1
94 878_T2         1
95 882_T2         1
