"chromosome","n_segment_groups","n_segments","total_bp","mean_segment_length","median_segment_length","sd_segment_length","mean_methylation","median_methylation"
"NC_059442.1",2,55,173402449,3152771.8,124067,7365205.5517,0.6961,0.7279
"NC_059443.1",3,213,94307753,442759.4038,15841,1615444.1435,0.5857,0.651
"NC_059444.1",3,282,104644742,371080.6454,4871,1980865.0339,0.5806,0.6329
"NC_059445.1",2,59,89982493,1525127,59772,3600655.1951,0.5906,0.7799
"NC_059446.1",2,64,91670974,1432358.9688,101939,4271590.231,0.6261,0.7209
"NC_059447.1",2,33,95276991,2887181.5455,110432,5466581.457,0.5827,0.865
"NC_059448.1",2,45,68438597,1520857.7111,103965,3419636.4069,0.5988,0.8285
"NC_059449.1",2,85,28186096,331601.1294,5113,1247305.8569,0.5569,0.529
"NC_059450.1",2,48,160519447,3344155.1458,153392.5,5333915.974,0.6492,0.7588
"NC_059451.1",2,33,125318160,3797520,234093,6769496.5887,0.6818,0.8446
"NC_059452.1",2,39,110316253,2828621.8718,294338,5338894.5504,0.6835,0.8062
"NC_059453.1",2,65,100729713,1549687.8923,38664,5177402.4404,0.6042,0.7296
"NC_059454.1",2,47,113713023,2419426.0213,49868,5995018.991,0.6289,0.6906
"NC_059455.1",2,57,101204030,1775509.2982,91648,3592160.0753,0.6169,0.669
"NC_059456.1",2,49,109407202,2232800.0408,65894,3578469.465,0.6236,0.7029
"NC_059457.1",2,41,95183865,2321557.6829,29690,5843604.4551,0.6369,0.7448
"NC_059458.1",3,53,86506913,1632205.9057,91104,3686820.0108,0.6385,0.7688
"NC_059459.1",3,103,83094828,806745.9029,11425,2657774.6218,0.615,0.6305
"NC_059460.1",2,37,87750328,2371630.4865,76453,4180230.806,0.6477,0.7388
"NC_059461.1",2,31,95658191,3085748.0968,297069,4610084.6077,0.6642,0.8786
"NC_059462.1",2,29,59411343,2048667,73410,4248586.6635,0.6639,0.8476
"NC_059463.1",2,47,63383432,1348583.6596,3823,3013709.2526,0.6455,0.808
"NC_059464.1",2,51,52043597,1020462.6863,58915,2452685.8887,0.723,0.7952
"NC_059465.1",2,19,49062692,2582246.9474,76332,4133210.0041,0.6506,0.8492
"NC_059466.1",4,23,53883665,2342768.0435,7643,7755036.2487,0.6792,0.8353
"NC_059467.1",2,47,55114571,1172650.4468,26166,2219942.5171,0.5941,0.813
"NC_059468.1",2,23,45070913,1959604.913,11072,4513835.3134,0.6625,0.8205
"NC_059469.1",8,9,41241731,4582414.5556,769574,7103194.1381,0.7344,0.897
"NC_059470.1",9,10,42737612,4273761.2,36731.5,11474866.8434,0.5479,0.63
