"chromosome","n_segment_groups","n_segments","total_bp","mean_segment_length","median_segment_length","sd_segment_length","mean_methylation","median_methylation"
"NC_059442.1",2,53,173496863,3273525.717,124067,7981310.7856,0.6837,0.7263
"NC_059443.1",3,199,94401867,474381.2412,13650,1730515.6738,0.5872,0.6615
"NC_059444.1",3,276,104643423,379142.837,4677,2001614.1024,0.5856,0.6341
"NC_059445.1",3,61,89999064,1475394.4918,60381,3461236.3856,0.6027,0.8102
"NC_059446.1",2,54,91772918,1699498.4815,167327.5,4655285.4881,0.61,0.6838
"NC_059447.1",2,33,95286658,2887474.4848,142311,5428360.7697,0.5898,0.8781
"NC_059448.1",2,45,68436728,1520816.1778,98794,3581959.4432,0.5994,0.8291
"NC_059449.1",2,83,28672813,345455.5783,5337,1403665.6981,0.5569,0.5366
"NC_059450.1",2,44,160643133,3650980.2955,153392.5,5976219.181,0.6474,0.7878
"NC_059451.1",2,37,125224855,3384455.5405,420078,5918332.3331,0.7001,0.8704
"NC_059452.1",2,33,110454290,3347099.697,320996,7277280.731,0.6779,0.8167
"NC_059453.1",2,59,101020899,1712218.6271,36891,5464736.6283,0.6002,0.7411
"NC_059454.1",2,51,113697335,2229359.5098,39795,5555750.5614,0.6516,0.7407
"NC_059455.1",2,47,101249261,2154239.5957,98518,3866105.3961,0.6039,0.6983
"NC_059456.1",2,47,109454770,2328824.8936,65894,3957580.7777,0.6256,0.7141
"NC_059457.1",2,41,95192077,2321757.9756,29690,5843527.5441,0.6446,0.7701
"NC_059458.1",3,53,86507026,1632208.0377,118137,3684347.3853,0.6467,0.7967
"NC_059459.1",3,99,82943517,837813.303,13308,2703548.3969,0.6233,0.6483
"NC_059460.1",2,35,87750209,2507148.8286,76453,4497998.6292,0.641,0.7429
"NC_059461.1",2,31,95736237,3088265.7097,297069,4613680.7135,0.6624,0.8828
"NC_059462.1",2,23,59426987,2583782.0435,123151,4977683.8394,0.6503,0.8623
"NC_059463.1",2,53,63373357,1195723.717,3823,2476922.9624,0.67,0.817
"NC_059464.1",2,53,51857608,978445.434,46009,2272592.8725,0.7355,0.7987
"NC_059465.1",2,19,48974965,2577629.7368,47740,4154991.3884,0.6474,0.8624
"NC_059466.1",6,21,54071581,2574837.1905,5989,8257186.0258,0.672,0.851
"NC_059467.1",2,49,55310014,1128775.7959,22746,2183850.8773,0.6085,0.8252
"NC_059468.1",2,23,45070154,1959571.913,11072,4514024.0918,0.6707,0.831
"NC_059469.1",6,7,41259598,5894228.2857,278237,8465908.3232,0.7212,0.9029
"NC_059470.1",7,10,42737612,4273761.2,36731.5,11474866.8434,0.5551,0.6416
