"seg.group","chromosome","n_segments","total_bp","mean_length","median_length","sd_length","min_length","q25_length","q75_length","max_length","mean_meth","median_meth","sd_meth","min_meth","q25_meth","q75_meth","max_meth","cv_meth","largest_segment","smallest_segment","prop_genome"
1,"NC_059442.1",36,2730102,75836.1667,34772.5,97328.2606,115,2980.5,128668.75,411632,0.5337,0.5658,0.1553,0.1546,0.4216,0.6605,0.7726,0.2909,411632,115,0.0157
2,"NC_059442.1",31,170610115,5503552.0968,2816077,7959567.173,6200,158971,6273409,31925093,0.8962,0.901,0.0213,0.8464,0.8901,0.9065,0.9491,0.0238,31925093,6200,0.9843
1,"NC_059443.1",28,217688,7774.5714,1617.5,23601.4709,132,631.75,2705,123945,0.0653,0.0641,0.0475,0.0043,0.0238,0.0992,0.1494,0.7269,123945,132,0.0023
2,"NC_059443.1",84,2644628,31483.6667,6557.5,93856.169,108,1667.25,20028.5,720431,0.431,0.4393,0.1372,0.1628,0.3402,0.5317,0.7202,0.3182,720431,108,0.028
3,"NC_059443.1",101,91510158,906041.1683,78814,2353081.8087,1164,21066,472592,15519742,0.8471,0.849,0.0507,0.7301,0.813,0.8872,0.9487,0.0598,15519742,1164,0.9697
1,"NC_059444.1",17,163779,9634.0588,697,24670.3986,182,612,1306,90110,0.0559,0.0582,0.0178,0.0222,0.0455,0.0667,0.0825,0.3188,90110,182,0.0016
2,"NC_059444.1",125,864222,6913.776,1387,19413.6517,71,802,4414,133251,0.3769,0.3837,0.151,0.0078,0.2643,0.5047,0.6909,0.4006,133251,71,0.0083
3,"NC_059444.1",103,11650434,113111.0097,15619,783025.9737,510,5808.5,35732.5,7962041,0.8042,0.8074,0.0442,0.6989,0.7703,0.8352,0.93,0.0549,7962041,510,0.1114
4,"NC_059444.1",31,91881377,2963915.3871,147508,4967642.1202,1024,34941,3122324.5,20368617,0.8979,0.8984,0.0111,0.8814,0.8876,0.9051,0.9261,0.0124,20368617,1024,0.8787
1,"NC_059445.1",30,774866,25828.8667,2966.5,43379.1686,268,1200,32935.75,180046,0.2868,0.2506,0.1999,0.0126,0.0871,0.4537,0.7342,0.6969,180046,268,0.0086
2,"NC_059445.1",29,89186262,3075388.3448,643279,4685780.1231,9134,87634,4894755,16666266,0.8877,0.8875,0.0192,0.8525,0.8725,0.8993,0.926,0.0216,16666266,9134,0.9914
1,"NC_059446.1",36,2955073,82085.3611,7428.5,242104.6547,113,1433.25,60702,1424528,0.4259,0.4578,0.2541,0.0189,0.2109,0.6168,0.9383,0.5967,1424528,113,0.0322
2,"NC_059446.1",26,88775543,3414443.9615,1254571.5,6286690.712,3038,492928.25,3755457,31167860,0.8869,0.8934,0.0159,0.8532,0.874,0.8974,0.9105,0.0179,31167860,3038,0.9678
1,"NC_059447.1",16,598539,37408.6875,25074,43622.7025,947,2824.5,46561.75,142311,0.2644,0.2341,0.2157,0.0066,0.0615,0.3596,0.6534,0.8156,142311,947,0.0063
2,"NC_059447.1",17,94692207,5570129.8235,4031678,7328834.7218,14081,1405063,5883507,30664939,0.8899,0.8939,0.0193,0.8497,0.8783,0.904,0.9144,0.0217,30664939,14081,0.9937
