"seg.group","chromosome","n_segments","total_bp","mean_length","median_length","sd_length","min_length","q25_length","q75_length","max_length","mean_meth","median_meth","sd_meth","min_meth","q25_meth","q75_meth","max_meth","cv_meth","largest_segment","smallest_segment","prop_genome"
1,"NC_059442.1",25,2173779,86951.16,53170,101624.3716,115,9571,124067,411632,0.4918,0.5117,0.1506,0.1623,0.3504,0.6099,0.7463,0.3063,411632,115,0.0125
2,"NC_059442.1",22,171356219,7788919.0455,4768352,10206435.3063,6200,2155871.5,7209863.75,41554127,0.9247,0.9283,0.024,0.8659,0.9074,0.9373,0.9844,0.026,41554127,6200,0.9875
1,"NC_059443.1",35,263711,7534.6,1723,21601.1436,132,885.5,2906,123945,0.064,0.0497,0.0573,0,0.0101,0.1135,0.1782,0.8957,123945,132,0.0028
2,"NC_059443.1",69,2365337,34280.2464,5008,90872.7225,108,1320,18892,455170,0.4401,0.4623,0.1148,0.1958,0.3545,0.5271,0.675,0.2608,455170,108,0.0251
3,"NC_059443.1",99,91489332,924134.6667,66328,2296326.8961,1164,20153.5,476175,15519742,0.8677,0.8693,0.0564,0.7306,0.8313,0.9116,0.9833,0.065,15519742,1164,0.9721
1,"NC_059444.1",21,170065,8098.3333,738,22314.6422,182,612,1306,90110,0.0385,0.0399,0.0215,0.0015,0.0311,0.0535,0.073,0.5593,90110,182,0.0016
2,"NC_059444.1",125,1021959,8175.672,1387,29951.8503,71,775,4676,290804,0.3767,0.3954,0.1568,0.0885,0.2492,0.5029,0.6719,0.4163,290804,71,0.0098
3,"NC_059444.1",132,103307848,782635.2121,21886.5,2801751.6118,488,6738,97223,20368617,0.8475,0.8479,0.0577,0.7158,0.8058,0.895,0.9591,0.0681,20368617,488,0.9886
1,"NC_059445.1",28,695675,24845.5357,2966.5,42580.6453,269,1262.5,23619.25,180046,0.27,0.2131,0.2118,0,0.0658,0.4325,0.7962,0.7842,180046,269,0.0077
2,"NC_059445.1",27,89271894,3306366.4444,643279,5304875.414,9266,104794,5022861,19928071,0.9156,0.9162,0.0202,0.8808,0.8979,0.926,0.9543,0.0221,19928071,9266,0.9923
1,"NC_059446.1",6,29008,4834.6667,502.5,10753.0567,113,381.25,702.5,26780,0.0283,0.0294,0.0185,0,0.0191,0.0417,0.0497,0.6528,26780,113,3e-04
2,"NC_059446.1",25,1837970,73518.8,15622,137110.6352,356,3431,57647,592484,0.4246,0.4175,0.1728,0.1616,0.3159,0.5324,0.8006,0.407,592484,356,0.02
3,"NC_059446.1",27,89854904,3327959.4074,1256554,6168547.1933,27551,540688.5,3194504,31167860,0.9137,0.9123,0.0213,0.8722,0.9016,0.9279,0.9593,0.0233,31167860,27551,0.9796
1,"NC_059447.1",14,706232,50445.1429,36762,54613.8156,947,3710.75,84154.25,148506,0.2211,0.1983,0.196,0,0.0359,0.3536,0.6053,0.8865,148506,947,0.0074
2,"NC_059447.1",15,94572258,6304817.2,5158350,7816536.4897,45337,2120504,6141902,30664939,0.9183,0.9256,0.0209,0.8731,0.9117,0.9348,0.942,0.0228,30664939,45337,0.9926
1,"NC_059448.1",9,359499,39944.3333,5558,77930.3706,886,1416,13639,231592,0.0873,0.0816,0.0438,0.0287,0.0655,0.1195,0.1542,0.5019,231592,886,0.0053
2,"NC_059448.1",9,507304,56367.1111,45315,49328.5477,214,11104,98794,139036,0.4352,0.422,0.1054,0.2832,0.3583,0.4669,0.6508,0.2423,139036,214,0.0074
3,"NC_059448.1",19,67590840,3557412.6316,1648853,5095262.2942,564,494041,4475053,17965987,0.9029,0.9114,0.0251,0.8358,0.8896,0.921,0.9354,0.0278,17965987,564,0.9873
1,"NC_059449.1",63,1030676,16359.9365,2686,49792.0433,198,1170.5,6006.5,326098,0.4297,0.4241,0.2166,0,0.2956,0.5796,0.8341,0.504,326098,198,0.0365
2,"NC_059449.1",22,27178560,1235389.0909,234507,2252448.9579,4775,103816,608154.75,7611185,0.9032,0.9129,0.0249,0.8509,0.8887,0.9217,0.9387,0.0276,7611185,4775,0.9635
1,"NC_059450.1",12,533608,44467.3333,18910,55316.4203,103,1609,85144,177022,0.2552,0.2557,0.1997,0,0.0884,0.3785,0.6502,0.7824,177022,103,0.0033
2,"NC_059450.1",7,286546,40935.1429,6841,75600.8889,115,869.5,35080,207691,0.5493,0.5472,0.0218,0.5188,0.5347,0.5654,0.5789,0.0397,207691,115,0.0018
3,"NC_059450.1",19,159940881,8417941.1053,8449763,7294535.8592,34489,2165494.5,10882377,27747473,0.9247,0.929,0.0165,0.8812,0.9134,0.9339,0.9475,0.0178,27747473,34489,0.9949
1,"NC_059451.1",20,3265991,163299.55,33875,371365.0138,59,2815.5,86480.75,1420715,0.5041,0.5333,0.2849,0,0.2934,0.6939,0.8945,0.5651,1420715,59,0.0261
2,"NC_059451.1",15,122044606,8136307.0667,5009374,9775998.8546,399396,2701671.5,8678322.5,39341595,0.9393,0.9393,0.011,0.9167,0.9323,0.9468,0.9544,0.0117,39341595,399396,0.9739
1,"NC_059452.1",18,1637424,90968,16839.5,176945.6343,937,4934.5,72936.25,705778,0.4669,0.5336,0.2392,0,0.3838,0.6186,0.8139,0.5123,705778,937,0.0148
2,"NC_059452.1",17,108763504,6397853.1765,3174004,6789651.8293,17078,1943542,8101472,21163526,0.9026,0.9126,0.0401,0.8186,0.8909,0.928,0.9504,0.0445,21163526,17078,0.9852
