seg.group,sample,chromosome,n_segments,total_bp,mean_length,median_length,sd_length,min_length,q25_length,q75_length,max_length,mean_meth,median_meth,sd_meth,min_meth,q25_meth,q75_meth,max_meth,cv_meth,largest_segment,smallest_segment,prop_genome
1,843_T2,NC_059442.1,38,17560534,462119.3158,59601,1284881.3728,155,3140,123598.25,5966013,0.5799,0.5557,0.2021,0.2276,0.4291,0.707,0.975,0.3486,5966013,155,0.1009
2,843_T2,NC_059442.1,19,156424591,8232873.2105,5514352,8296708.2919,6200,3066161,10878912,33063610,0.9014,0.9007,0.0084,0.8893,0.895,0.9075,0.9217,0.0093,33063610,6200,0.8991
1,843_T2,NC_059443.1,35,300507,8585.9143,1958,21343.345,127,1083.5,7537.5,123945,0.0894,0.074,0.0616,0,0.028,0.1442,0.1877,0.6892,123945,127,0.0032
2,843_T2,NC_059443.1,73,2825973,38711.9589,5357,102227.6586,127,1904,23804,633815,0.4289,0.4449,0.1079,0.2318,0.3756,0.4965,0.649,0.2515,633815,127,0.0301
3,843_T2,NC_059443.1,101,90864382,899647.3465,58971,2241270.0386,169,21521,455235,15484196,0.8461,0.8473,0.0548,0.7064,0.8156,0.8862,0.9523,0.0648,15484196,169,0.9667
1,843_T2,NC_059444.1,58,489413,8438.1552,985,22299.7965,141,697.75,2505,106092,0.1416,0.1477,0.0798,0.0061,0.0698,0.2015,0.2766,0.5636,106092,141,0.0047
2,843_T2,NC_059444.1,77,893459,11603.3636,1742,41723.1139,186,799,5129,339477,0.428,0.4196,0.0761,0.2835,0.3663,0.4926,0.5807,0.1777,339477,186,0.0086
3,843_T2,NC_059444.1,131,102689499,783889.3053,22279,3413907.0493,510,7729.5,88997,31195783,0.8165,0.8271,0.0652,0.6423,0.7745,0.8674,0.95,0.0798,31195783,510,0.9867
1,843_T2,NC_059445.1,29,1526670,52643.7931,4339,83891.9581,332,944,59772,265207,0.3077,0.2456,0.216,0,0.1131,0.4625,0.7582,0.7017,265207,332,0.0169
2,843_T2,NC_059445.1,28,88679614,3167129.0714,1241021,4145258.9409,9150,130581.25,4354472.75,16659938,0.8799,0.8742,0.0219,0.8464,0.8647,0.8958,0.9219,0.0249,16659938,9150,0.9831
1,843_T2,NC_059446.1,29,1682035,58001.2069,6706,116161.1583,339,1337,57549,560880,0.4005,0.4304,0.2581,0,0.1867,0.5876,0.9583,0.6445,560880,339,0.0184
2,843_T2,NC_059446.1,21,89926690,4282223.3333,1583835,8209788.8005,10740,518442,4148921,37790243,0.8829,0.8833,0.0202,0.8451,0.8708,0.895,0.9271,0.0229,37790243,10740,0.9816
1,843_T2,NC_059447.1,6,267692,44615.3333,8276.5,82490.1646,1237,3243.75,30170,210868,0.0446,0.0486,0.0339,0,0.0272,0.0494,0.1004,0.7612,210868,1237,0.0028
2,843_T2,NC_059447.1,11,816419,74219.9091,36931,66546.7286,2984,28996.5,113074,195708,0.3878,0.4132,0.1213,0.2013,0.3112,0.472,0.5869,0.3127,195708,2984,0.0086
3,843_T2,NC_059447.1,18,94132225,5229568.0556,3736113.5,6450878.1375,54788,1506467.75,5529342.75,27507328,0.8932,0.8971,0.0229,0.8559,0.8777,0.9054,0.9432,0.0257,27507328,54788,0.9886
1,843_T2,NC_059448.1,7,313380,44768.5714,5558,84540.9279,886,1628,36044,231592,0.0887,0.0818,0.0254,0.0572,0.0729,0.1041,0.1281,0.2864,231592,886,0.0046
2,843_T2,NC_059448.1,11,610214,55474,46316,57487.0899,214,12388,74150.5,196505,0.3635,0.3772,0.1049,0.1914,0.2916,0.4336,0.5568,0.2884,196505,214,0.0089
3,843_T2,NC_059448.1,19,67345753,3544513.3158,1229675,5129135.2731,564,190208.5,5057682.5,17888810,0.8828,0.8814,0.0371,0.7869,0.8647,0.9053,0.9447,0.042,17888810,564,0.9865
1,843_T2,NC_059449.1,59,423965,7185.8475,2336,20154.7693,244,874.5,5526.5,140659,0.4021,0.3869,0.2182,0.0068,0.2495,0.5925,0.81,0.5427,140659,244,0.0148
2,843_T2,NC_059449.1,20,28154328,1407716.4,174016.5,2645977.2491,4775,102627.5,731920.25,7624919,0.8754,0.8848,0.025,0.823,0.8595,0.8936,0.9103,0.0285,7624919,4775,0.9852
