category,T1_start,T2_start,W_start,T1_end,T2_end,W_end,start_spread,end_spread,max_spread
ABC,11350,11350,11350,92392,76441,92392,0,15951,15951
ABC,92407,92407,92407,94753,94753,94753,0,0,0
AB,96456,96456,,1429664,1429664,,0,0,0
ABC,1455991,1455991,1455991,1456938,1456938,1456938,0,0,0
AC,1464933,,1464933,7615449,,7615449,0,0,0
ABC,7617922,7615448,7617922,7677568,7678992,7678992,2474,1424,2474
ABC,7678991,7731831,7731831,14828229,14828229,14828229,52840,0,52840
ABC,14938078,14938078,14938078,14974914,14974914,14974914,0,0,0
ABC,14975008,14975008,14975008,15029797,15029797,15029797,0,0,0
ABC,15030693,15030693,15030693,15036584,15036584,15036584,0,0,0
ABC,15036629,15036629,15036629,18481575,18481575,18481575,0,0,0
ABC,18487837,18487837,18487837,18490821,18490821,18490821,0,0,0
ABC,18494942,18494942,18494942,24177955,24177955,24177955,0,0,0
ABC,24313006,24313006,24313006,24323622,24323622,24323622,0,0,0
ABC,24339707,24339707,24339707,27441411,27441411,27441411,0,0,0
ABC,27456994,27456994,27456994,27493682,27493682,27493682,0,0,0
ABC,27497513,27497513,27497513,31529191,31529191,31529191,0,0,0
ABC,31625723,31625723,31625723,31666624,31666624,31666624,0,0,0
ABC,31693582,31693582,31693582,37577089,37577089,37577089,0,0,0
ABC,37585869,37585869,37585869,37677718,37677718,37677718,0,0,0
ABC,43890708,43890708,43890708,44033019,44033019,44033019,0,0,0
ABC,44034438,44034438,44034438,45865061,45865061,45865061,0,0,0
ABC,45874809,45874809,45874809,45910183,45910184,45910184,0,1,1
ABC,45910183,45910186,45910186,59974347,59974347,59974347,3,0,3
ABC,59987964,59987964,59987964,60098396,60098396,60098396,0,0,0
ABC,60108860,60108860,60108860,65267210,65267210,65267210,0,0,0
ABC,65267740,65267740,65267740,65268977,65268977,65268977,0,0,0
AC,65269473,,65269473,68244602,,68244602,0,0,0
AC,68259194,,68259194,68313809,,68313809,0,0,0
AC,68313810,,68313810,95934412,,95934412,0,0,0
BC,,37688864,37688864,,43822152,43822152,0,0,0
