seqnames	start	end	width	strand	seg_group	mean_meth	is_promoter	gene_id	tx_name	n_promoters	promoters_per_mb
1	126432	132632	6201	*	2	0.905927999425402	FALSE			0	0
1	132649	132991	343	*	1	0.162334835375803	FALSE			0	0
1	132991	2961469	2828479	*	2	0.909252327816986	TRUE		ENSSSAT00000218169;ENSSSAT00000222146;ENSSSAT00000231599;ENSSSAT00000184885;ENSSSAT00000193198;ENSSSAT00000164659;ENSSSAT00000252021;ENSSSAT00000193203;ENSSSAT00000204007;ENSSSAT00000221753;ENSSSAT00000178006;ENSSSAT00000196236;ENSSSAT00000000093;ENSSSAT00000162348;ENSSSAT00000189129;ENSSSAT00000206255;ENSSSAT00000239353;ENSSSAT00000171927;ENSSSAT00000176621;ENSSSAT00000216160;ENSSSAT00000253553;ENSSSAT00000172374;ENSSSAT00000221497;ENSSSAT00000237928;ENSSSAT00000243527;ENSSSAT00000173567;ENSSSAT00000184826;ENSSSAT00000245479;ENSSSAT00000248790;ENSSSAT00000200320;ENSSSAT00000195094;ENSSSAT00000000061;ENSSSAT00000203187;ENSSSAT00000024913;ENSSSAT00000220679;ENSSSAT00000231454;ENSSSAT00000242075;ENSSSAT00000000062;ENSSSAT00000173133;ENSSSAT00000170668;ENSSSAT00000194671;ENSSSAT00000239238;ENSSSAT00000235262;ENSSSAT00000200218;ENSSSAT00000000064;ENSSSAT00000181079;ENSSSAT00000184923;ENSSSAT00000210700;ENSSSAT00000177218;ENSSSAT00000233227;ENSSSAT00000250693;ENSSSAT00000209856;ENSSSAT00000236996;ENSSSAT00000211867;ENSSSAT00000217773;ENSSSAT00000228596;ENSSSAT00000230907;ENSSSAT00000194180;ENSSSAT00000247493;ENSSSAT00000249545;ENSSSAT00000217322;ENSSSAT00000179485;ENSSSAT00000000051;ENSSSAT00000000054;ENSSSAT00000066524;ENSSSAT00000235062;ENSSSAT00000230142;ENSSSAT00000066503;ENSSSAT00000221148;ENSSSAT00000066579;ENSSSAT00000105311;ENSSSAT00000105336;ENSSSAT00000105347;ENSSSAT00000105382;ENSSSAT00000105329;ENSSSAT00000160127;ENSSSAT00000230300;ENSSSAT00000237882;ENSSSAT00000105204;ENSSSAT00000105269;ENSSSAT00000002019;ENSSSAT00000208639;ENSSSAT00000225997;ENSSSAT00000233067;ENSSSAT00000000056;ENSSSAT00000000060;ENSSSAT00000000058;ENSSSAT00000000059;ENSSSAT00000227580;ENSSSAT00000207323;ENSSSAT00000240269;ENSSSAT00000234889;ENSSSAT00000194455;ENSSSAT00000186439;ENSSSAT00000169407;ENSSSAT00000246516;ENSSSAT00000209094;ENSSSAT00000165618;ENSSSAT00000198042;ENSSSAT00000242780;ENSSSAT00000230849;ENSSSAT00000000066;ENSSSAT00000195653;ENSSSAT00000213971;ENSSSAT00000249340;ENSSSAT00000176263;ENSSSAT00000236494;ENSSSAT00000222699;ENSSSAT00000169642;ENSSSAT00000199884;ENSSSAT00000158903;ENSSSAT00000193879;ENSSSAT00000216736;ENSSSAT00000184822;ENSSSAT00000205351;ENSSSAT00000185121;ENSSSAT00000252122;ENSSSAT00000000071;ENSSSAT00000000072;ENSSSAT00000187085;ENSSSAT00000209311;ENSSSAT00000198897;ENSSSAT00000000069;ENSSSAT00000224908;ENSSSAT00000239812;ENSSSAT00000195690;ENSSSAT00000220625;ENSSSAT00000194366;ENSSSAT00000212765;ENSSSAT00000176193;ENSSSAT00000190773;ENSSSAT00000173024;ENSSSAT00000197980;ENSSSAT00000204823;ENSSSAT00000228760;ENSSSAT00000165686;ENSSSAT00000223419;ENSSSAT00000182604;ENSSSAT00000188479;ENSSSAT00000163030;ENSSSAT00000223435;ENSSSAT00000194832;ENSSSAT00000205617;ENSSSAT00000157097;ENSSSAT00000165189;ENSSSAT00000199558;ENSSSAT00000227479;ENSSSAT00000214560;ENSSSAT00000165236;ENSSSAT00000163434;ENSSSAT00000195230;ENSSSAT00000205276;ENSSSAT00000253758;ENSSSAT00000253761;ENSSSAT00000201706;ENSSSAT00000168011;ENSSSAT00000162848;ENSSSAT00000214085;ENSSSAT00000200263;ENSSSAT00000214448;ENSSSAT00000230433;ENSSSAT00000239262;ENSSSAT00000203176;ENSSSAT00000199449;ENSSSAT00000000053;ENSSSAT00000225554;ENSSSAT00000180259;ENSSSAT00000245290;ENSSSAT00000177521;ENSSSAT00000219335;ENSSSAT00000000041;ENSSSAT00000197579;ENSSSAT00000219342;ENSSSAT00000158143;ENSSSAT00000000040;ENSSSAT00000195292;ENSSSAT00000157205;ENSSSAT00000188053;ENSSSAT00000102803;ENSSSAT00000232598;ENSSSAT00000216925;ENSSSAT00000174571;ENSSSAT00000225329;ENSSSAT00000198335;ENSSSAT00000171378;ENSSSAT00000209168	186	65.7597245728181
1	2961530	2961685	156	*	1	0.255779573879278	FALSE			0	0
1	2962163	10245575	7283413	*	2	0.920858405738915	TRUE		ENSSSAT00000201397;ENSSSAT00000175935;ENSSSAT00000192547;ENSSSAT00000203113;ENSSSAT00000103904;ENSSSAT00000000090;ENSSSAT00000104016;ENSSSAT00000167348;ENSSSAT00000103893;ENSSSAT00000103899;ENSSSAT00000161781;ENSSSAT00000186580;ENSSSAT00000213713;ENSSSAT00000173325;ENSSSAT00000251334;ENSSSAT00000157489;ENSSSAT00000228351;ENSSSAT00000192907;ENSSSAT00000233784;ENSSSAT00000253198;ENSSSAT00000212422;ENSSSAT00000247887;ENSSSAT00000177860;ENSSSAT00000216363;ENSSSAT00000239339;ENSSSAT00000190409;ENSSSAT00000199959;ENSSSAT00000156586;ENSSSAT00000229431;ENSSSAT00000000100;ENSSSAT00000194311;ENSSSAT00000217593;ENSSSAT00000183180;ENSSSAT00000252936;ENSSSAT00000216093;ENSSSAT00000234426;ENSSSAT00000222522;ENSSSAT00000189640;ENSSSAT00000228600;ENSSSAT00000159780;ENSSSAT00000253435;ENSSSAT00000181608;ENSSSAT00000225067;ENSSSAT00000243486;ENSSSAT00000166946;ENSSSAT00000000146;ENSSSAT00000000147;ENSSSAT00000232459;ENSSSAT00000000148;ENSSSAT00000231586;ENSSSAT00000178362;ENSSSAT00000000143;ENSSSAT00000108935;ENSSSAT00000168182;ENSSSAT00000000126;ENSSSAT00000228057;ENSSSAT00000000163;ENSSSAT00000163376;ENSSSAT00000171870;ENSSSAT00000171910;ENSSSAT00000234918;ENSSSAT00000224546;ENSSSAT00000248759;ENSSSAT00000234548;ENSSSAT00000226505;ENSSSAT00000228601;ENSSSAT00000179020;ENSSSAT00000184353;ENSSSAT00000174614;ENSSSAT00000181161;ENSSSAT00000242817;ENSSSAT00000245877;ENSSSAT00000182073;ENSSSAT00000238679;ENSSSAT00000225273;ENSSSAT00000222231;ENSSSAT00000094033;ENSSSAT00000172911;ENSSSAT00000093952;ENSSSAT00000092506;ENSSSAT00000251904;ENSSSAT00000241994;ENSSSAT00000182546;ENSSSAT00000202794;ENSSSAT00000241629;ENSSSAT00000249282;ENSSSAT00000087991;ENSSSAT00000088006;ENSSSAT00000088055;ENSSSAT00000088059;ENSSSAT00000088065;ENSSSAT00000087985;ENSSSAT00000166635;ENSSSAT00000196354;ENSSSAT00000200157;ENSSSAT00000234544;ENSSSAT00000234136;ENSSSAT00000095304;ENSSSAT00000250783;ENSSSAT00000198118;ENSSSAT00000158060;ENSSSAT00000178961;ENSSSAT00000216910;ENSSSAT00000232433;ENSSSAT00000173040;ENSSSAT00000247012;ENSSSAT00000168678;ENSSSAT00000231943;ENSSSAT00000162397;ENSSSAT00000166869;ENSSSAT00000169213;ENSSSAT00000186951;ENSSSAT00000241641;ENSSSAT00000228666;ENSSSAT00000179760;ENSSSAT00000198934;ENSSSAT00000215663;ENSSSAT00000235043;ENSSSAT00000123755;ENSSSAT00000123800;ENSSSAT00000124156;ENSSSAT00000124161;ENSSSAT00000124032;ENSSSAT00000123747;ENSSSAT00000124018;ENSSSAT00000123996;ENSSSAT00000124003;ENSSSAT00000123867;ENSSSAT00000220279;ENSSSAT00000221606;ENSSSAT00000158962;ENSSSAT00000190433;ENSSSAT00000210305;ENSSSAT00000249815;ENSSSAT00000161508;ENSSSAT00000192633;ENSSSAT00000051626;ENSSSAT00000049214;ENSSSAT00000049941;ENSSSAT00000172051;ENSSSAT00000175828;ENSSSAT00000163535;ENSSSAT00000182480;ENSSSAT00000206212;ENSSSAT00000235327;ENSSSAT00000249994;ENSSSAT00000228645;ENSSSAT00000050267;ENSSSAT00000050487;ENSSSAT00000050355;ENSSSAT00000207792;ENSSSAT00000201337;ENSSSAT00000193033;ENSSSAT00000157368;ENSSSAT00000200944;ENSSSAT00000181154;ENSSSAT00000094669;ENSSSAT00000194736;ENSSSAT00000188299;ENSSSAT00000250450;ENSSSAT00000164412;ENSSSAT00000124296;ENSSSAT00000124307;ENSSSAT00000175388;ENSSSAT00000124349;ENSSSAT00000124424;ENSSSAT00000124382;ENSSSAT00000124399;ENSSSAT00000124362;ENSSSAT00000124463;ENSSSAT00000124528;ENSSSAT00000124556;ENSSSAT00000198124;ENSSSAT00000216281;ENSSSAT00000188239;ENSSSAT00000124787;ENSSSAT00000124779;ENSSSAT00000124762;ENSSSAT00000124765;ENSSSAT00000124759;ENSSSAT00000124761;ENSSSAT00000124791;ENSSSAT00000176782;ENSSSAT00000251408;ENSSSAT00000159687;ENSSSAT00000124902;ENSSSAT00000124932;ENSSSAT00000202383;ENSSSAT00000229866;ENSSSAT00000126938;ENSSSAT00000126928;ENSSSAT00000126833;ENSSSAT00000126902;ENSSSAT00000126816;ENSSSAT00000177146;ENSSSAT00000189853;ENSSSAT00000196735;ENSSSAT00000170178;ENSSSAT00000214212;ENSSSAT00000132301;ENSSSAT00000132329;ENSSSAT00000132312;ENSSSAT00000132474;ENSSSAT00000132436;ENSSSAT00000132467;ENSSSAT00000132444;ENSSSAT00000132446;ENSSSAT00000132504;ENSSSAT00000132457;ENSSSAT00000235586;ENSSSAT00000132523;ENSSSAT00000132573;ENSSSAT00000132563;ENSSSAT00000132625;ENSSSAT00000132626;ENSSSAT00000132628;ENSSSAT00000196940;ENSSSAT00000207891;ENSSSAT00000204660;ENSSSAT00000158211;ENSSSAT00000132647;ENSSSAT00000169347;ENSSSAT00000227575;ENSSSAT00000145967;ENSSSAT00000145828;ENSSSAT00000145835;ENSSSAT00000146081;ENSSSAT00000146165;ENSSSAT00000232975;ENSSSAT00000238830;ENSSSAT00000146151;ENSSSAT00000146174;ENSSSAT00000146108;ENSSSAT00000146201;ENSSSAT00000146192;ENSSSAT00000146209;ENSSSAT00000146280;ENSSSAT00000254852;ENSSSAT00000146306;ENSSSAT00000249712;ENSSSAT00000157479;ENSSSAT00000182407;ENSSSAT00000210469;ENSSSAT00000159540;ENSSSAT00000205112;ENSSSAT00000243718;ENSSSAT00000224487;ENSSSAT00000239203;ENSSSAT00000176596;ENSSSAT00000235335;ENSSSAT00000218573;ENSSSAT00000000085;ENSSSAT00000000082;ENSSSAT00000254481;ENSSSAT00000190141;ENSSSAT00000228157;ENSSSAT00000164559;ENSSSAT00000213806;ENSSSAT00000164528;ENSSSAT00000237449;ENSSSAT00000166043;ENSSSAT00000216367;ENSSSAT00000219819;ENSSSAT00000198385;ENSSSAT00000176027;ENSSSAT00000164969;ENSSSAT00000230094;ENSSSAT00000232903;ENSSSAT00000202323;ENSSSAT00000227313;ENSSSAT00000207646;ENSSSAT00000253023;ENSSSAT00000226768;ENSSSAT00000254926;ENSSSAT00000163551;ENSSSAT00000253652;ENSSSAT00000234580;ENSSSAT00000181296;ENSSSAT00000159975;ENSSSAT00000189760;ENSSSAT00000213016;ENSSSAT00000000151;ENSSSAT00000241804;ENSSSAT00000198217;ENSSSAT00000209786;ENSSSAT00000222877;ENSSSAT00000173743;ENSSSAT00000207290;ENSSSAT00000176000;ENSSSAT00000171362;ENSSSAT00000246220;ENSSSAT00000233857;ENSSSAT00000010956;ENSSSAT00000250999;ENSSSAT00000200826;ENSSSAT00000207763;ENSSSAT00000191623;ENSSSAT00000237251;ENSSSAT00000243230;ENSSSAT00000236380;ENSSSAT00000188433;ENSSSAT00000000103;ENSSSAT00000000102;ENSSSAT00000190668;ENSSSAT00000253112;ENSSSAT00000159604;ENSSSAT00000253728;ENSSSAT00000173271;ENSSSAT00000000108;ENSSSAT00000185150;ENSSSAT00000000109;ENSSSAT00000244049;ENSSSAT00000186920;ENSSSAT00000197061;ENSSSAT00000000107;ENSSSAT00000205730;ENSSSAT00000184157;ENSSSAT00000200217;ENSSSAT00000172801;ENSSSAT00000233792;ENSSSAT00000236352;ENSSSAT00000186931;ENSSSAT00000230739;ENSSSAT00000186363;ENSSSAT00000172575;ENSSSAT00000212493;ENSSSAT00000177780;ENSSSAT00000179568;ENSSSAT00000188262;ENSSSAT00000228279;ENSSSAT00000172625;ENSSSAT00000206872;ENSSSAT00000227288;ENSSSAT00000223409;ENSSSAT00000186088;ENSSSAT00000108728;ENSSSAT00000000150;ENSSSAT00000226268;ENSSSAT00000000138;ENSSSAT00000181392;ENSSSAT00000209879;ENSSSAT00000213803;ENSSSAT00000255014;ENSSSAT00000000136;ENSSSAT00000000135;ENSSSAT00000000133;ENSSSAT00000000134;ENSSSAT00000090396;ENSSSAT00000000129;ENSSSAT00000000127;ENSSSAT00000000128;ENSSSAT00000000125;ENSSSAT00000209727;ENSSSAT00000204106;ENSSSAT00000106729;ENSSSAT00000171050;ENSSSAT00000000121;ENSSSAT00000000120;ENSSSAT00000000122;ENSSSAT00000000123;ENSSSAT00000000111;ENSSSAT00000000113;ENSSSAT00000000114;ENSSSAT00000000112;ENSSSAT00000000116;ENSSSAT00000000117;ENSSSAT00000000115;ENSSSAT00000000118;ENSSSAT00000000160;ENSSSAT00000222234;ENSSSAT00000000161;ENSSSAT00000000162;ENSSSAT00000000167;ENSSSAT00000232405;ENSSSAT00000000168;ENSSSAT00000106965;ENSSSAT00000106979;ENSSSAT00000084459;ENSSSAT00000085365;ENSSSAT00000085561;ENSSSAT00000092294;ENSSSAT00000158762;ENSSSAT00000166326;ENSSSAT00000204814;ENSSSAT00000231998;ENSSSAT00000233762;ENSSSAT00000000158;ENSSSAT00000098469;ENSSSAT00000174826;ENSSSAT00000240056;ENSSSAT00000000154;ENSSSAT00000000157;ENSSSAT00000000156;ENSSSAT00000174839;ENSSSAT00000214928;ENSSSAT00000094279;ENSSSAT00000178469;ENSSSAT00000213782;ENSSSAT00000195575;ENSSSAT00000245421;ENSSSAT00000157020;ENSSSAT00000093989;ENSSSAT00000161131;ENSSSAT00000204851;ENSSSAT00000188710;ENSSSAT00000093857;ENSSSAT00000093913;ENSSSAT00000093887;ENSSSAT00000093934;ENSSSAT00000093902;ENSSSAT00000207688;ENSSSAT00000093027;ENSSSAT00000093009;ENSSSAT00000093017;ENSSSAT00000218069;ENSSSAT00000093032;ENSSSAT00000157906;ENSSSAT00000169753;ENSSSAT00000093040;ENSSSAT00000093048;ENSSSAT00000092433;ENSSSAT00000092447;ENSSSAT00000246612;ENSSSAT00000092057;ENSSSAT00000092332;ENSSSAT00000060220;ENSSSAT00000060649;ENSSSAT00000091457;ENSSSAT00000092237;ENSSSAT00000092252;ENSSSAT00000092387;ENSSSAT00000092428;ENSSSAT00000085609;ENSSSAT00000085596;ENSSSAT00000243948;ENSSSAT00000232926;ENSSSAT00000254299;ENSSSAT00000211973;ENSSSAT00000176086;ENSSSAT00000077641;ENSSSAT00000190882;ENSSSAT00000172623;ENSSSAT00000231214;ENSSSAT00000049458;ENSSSAT00000108487;ENSSSAT00000189461;ENSSSAT00000241115;ENSSSAT00000163830;ENSSSAT00000170509;ENSSSAT00000222059;ENSSSAT00000235604;ENSSSAT00000169465;ENSSSAT00000243394;ENSSSAT00000201486;ENSSSAT00000247194;ENSSSAT00000163771;ENSSSAT00000199982;ENSSSAT00000175521;ENSSSAT00000180365;ENSSSAT00000198000;ENSSSAT00000233611;ENSSSAT00000201530;ENSSSAT00000222965;ENSSSAT00000222197;ENSSSAT00000224962;ENSSSAT00000185308;ENSSSAT00000189747;ENSSSAT00000203333;ENSSSAT00000219171;ENSSSAT00000213302;ENSSSAT00000233302;ENSSSAT00000212959;ENSSSAT00000226025;ENSSSAT00000167862;ENSSSAT00000199317;ENSSSAT00000252108;ENSSSAT00000206316;ENSSSAT00000237930;ENSSSAT00000179478;ENSSSAT00000193527;ENSSSAT00000206550;ENSSSAT00000227541;ENSSSAT00000193997;ENSSSAT00000195638;ENSSSAT00000176196;ENSSSAT00000198617;ENSSSAT00000172756;ENSSSAT00000195414;ENSSSAT00000165829;ENSSSAT00000234409;ENSSSAT00000214515;ENSSSAT00000174828;ENSSSAT00000191892;ENSSSAT00000223718;ENSSSAT00000233458;ENSSSAT00000170261;ENSSSAT00000181965;ENSSSAT00000225037;ENSSSAT00000228484;ENSSSAT00000221630;ENSSSAT00000228994;ENSSSAT00000253814;ENSSSAT00000118969;ENSSSAT00000123276;ENSSSAT00000123466;ENSSSAT00000117642;ENSSSAT00000121215;ENSSSAT00000121308;ENSSSAT00000121534;ENSSSAT00000123322;ENSSSAT00000123714;ENSSSAT00000123671;ENSSSAT00000170147;ENSSSAT00000165902;ENSSSAT00000177971;ENSSSAT00000208064;ENSSSAT00000173195;ENSSSAT00000247399;ENSSSAT00000124177;ENSSSAT00000243720;ENSSSAT00000215177;ENSSSAT00000160582;ENSSSAT00000192831;ENSSSAT00000049850;ENSSSAT00000049615;ENSSSAT00000049688;ENSSSAT00000049811;ENSSSAT00000052400;ENSSSAT00000050772;ENSSSAT00000179922;ENSSSAT00000158024;ENSSSAT00000225289;ENSSSAT00000173351;ENSSSAT00000172931;ENSSSAT00000178186;ENSSSAT00000197044;ENSSSAT00000124216;ENSSSAT00000204488;ENSSSAT00000188032;ENSSSAT00000226986;ENSSSAT00000157247;ENSSSAT00000208715;ENSSSAT00000231856;ENSSSAT00000178446;ENSSSAT00000007034;ENSSSAT00000124596;ENSSSAT00000124605;ENSSSAT00000238379;ENSSSAT00000124825;ENSSSAT00000165808;ENSSSAT00000234654;ENSSSAT00000201942;ENSSSAT00000124876;ENSSSAT00000199434;ENSSSAT00000192534;ENSSSAT00000167851;ENSSSAT00000198576;ENSSSAT00000132514;ENSSSAT00000187015;ENSSSAT00000214419;ENSSSAT00000211673;ENSSSAT00000216451;ENSSSAT00000163026;ENSSSAT00000195861;ENSSSAT00000210786;ENSSSAT00000249009;ENSSSAT00000186587;ENSSSAT00000221729;ENSSSAT00000212782;ENSSSAT00000222695;ENSSSAT00000184162;ENSSSAT00000243045;ENSSSAT00000221117;ENSSSAT00000247980;ENSSSAT00000132640;ENSSSAT00000132653;ENSSSAT00000211612;ENSSSAT00000089141;ENSSSAT00000146292;ENSSSAT00000246973;ENSSSAT00000232663;ENSSSAT00000200002;ENSSSAT00000146402;ENSSSAT00000146505;ENSSSAT00000146509;ENSSSAT00000146578;ENSSSAT00000146570	587	80.5940841196291
1	10299218	10494096	194879	*	1	0.511666666666667	TRUE		ENSSSAT00000219510;ENSSSAT00000146646;ENSSSAT00000177335;ENSSSAT00000061918;ENSSSAT00000147005;ENSSSAT00000147011;ENSSSAT00000146984;ENSSSAT00000189244;ENSSSAT00000235235;ENSSSAT00000240588;ENSSSAT00000146998;ENSSSAT00000064586;ENSSSAT00000147151;ENSSSAT00000147118;ENSSSAT00000147164;ENSSSAT00000147200;ENSSSAT00000147210;ENSSSAT00000216035;ENSSSAT00000172674;ENSSSAT00000253491;ENSSSAT00000147229;ENSSSAT00000147237;ENSSSAT00000148133;ENSSSAT00000190492;ENSSSAT00000178043;ENSSSAT00000230309;ENSSSAT00000195011;ENSSSAT00000240009;ENSSSAT00000000734;ENSSSAT00000000666;ENSSSAT00000000635;ENSSSAT00000000623;ENSSSAT00000000600;ENSSSAT00000000641;ENSSSAT00000000706;ENSSSAT00000193413;ENSSSAT00000000689;ENSSSAT00000161621;ENSSSAT00000146653;ENSSSAT00000146663;ENSSSAT00000061434;ENSSSAT00000147243;ENSSSAT00000163681;ENSSSAT00000147245;ENSSSAT00000148077;ENSSSAT00000148075;ENSSSAT00000148097;ENSSSAT00000220059;ENSSSAT00000148103;ENSSSAT00000188738;ENSSSAT00000198343;ENSSSAT00000222602;ENSSSAT00000233161;ENSSSAT00000190527;ENSSSAT00000148129;ENSSSAT00000148119;ENSSSAT00000235813;ENSSSAT00000000271	58	297.620574818221
1	10494096	16594931	6100836	*	2	0.937440051325365	TRUE		ENSSSAT00000202626;ENSSSAT00000225566;ENSSSAT00000169115;ENSSSAT00000000822;ENSSSAT00000233027;ENSSSAT00000000837;ENSSSAT00000225892;ENSSSAT00000000928;ENSSSAT00000000945;ENSSSAT00000169613;ENSSSAT00000000922;ENSSSAT00000215332;ENSSSAT00000239756;ENSSSAT00000001072;ENSSSAT00000166866;ENSSSAT00000001092;ENSSSAT00000249089;ENSSSAT00000251347;ENSSSAT00000001259;ENSSSAT00000011417;ENSSSAT00000174291;ENSSSAT00000218554;ENSSSAT00000209726;ENSSSAT00000212618;ENSSSAT00000186553;ENSSSAT00000167460;ENSSSAT00000165335;ENSSSAT00000012108;ENSSSAT00000205228;ENSSSAT00000199416;ENSSSAT00000229800;ENSSSAT00000171498;ENSSSAT00000221613;ENSSSAT00000189689;ENSSSAT00000211988;ENSSSAT00000160288;ENSSSAT00000214237;ENSSSAT00000222160;ENSSSAT00000235420;ENSSSAT00000188224;ENSSSAT00000189921;ENSSSAT00000018969;ENSSSAT00000249737;ENSSSAT00000019033;ENSSSAT00000100143;ENSSSAT00000146261;ENSSSAT00000224751;ENSSSAT00000019071;ENSSSAT00000177100;ENSSSAT00000233669;ENSSSAT00000242531;ENSSSAT00000231849;ENSSSAT00000227794;ENSSSAT00000019141;ENSSSAT00000227417;ENSSSAT00000166419;ENSSSAT00000249798;ENSSSAT00000195748;ENSSSAT00000236601;ENSSSAT00000218768;ENSSSAT00000229626;ENSSSAT00000240660;ENSSSAT00000020207;ENSSSAT00000185890;ENSSSAT00000020261;ENSSSAT00000020297;ENSSSAT00000167773;ENSSSAT00000020465;ENSSSAT00000168608;ENSSSAT00000020784;ENSSSAT00000020770;ENSSSAT00000207666;ENSSSAT00000020776;ENSSSAT00000171586;ENSSSAT00000020909;ENSSSAT00000029488;ENSSSAT00000029245;ENSSSAT00000029407;ENSSSAT00000029142;ENSSSAT00000171197;ENSSSAT00000178535;ENSSSAT00000029663;ENSSSAT00000029696;ENSSSAT00000074319;ENSSSAT00000192182;ENSSSAT00000074358;ENSSSAT00000179648;ENSSSAT00000203475;ENSSSAT00000190685;ENSSSAT00000235702;ENSSSAT00000212965;ENSSSAT00000254419;ENSSSAT00000220777;ENSSSAT00000207989;ENSSSAT00000230130;ENSSSAT00000168204;ENSSSAT00000240167;ENSSSAT00000226299;ENSSSAT00000074437;ENSSSAT00000226192;ENSSSAT00000211239;ENSSSAT00000074490;ENSSSAT00000199741;ENSSSAT00000184596;ENSSSAT00000092927;ENSSSAT00000092938;ENSSSAT00000092951;ENSSSAT00000092963;ENSSSAT00000093735;ENSSSAT00000094270;ENSSSAT00000169834;ENSSSAT00000094285;ENSSSAT00000093013;ENSSSAT00000093205;ENSSSAT00000000965;ENSSSAT00000164924;ENSSSAT00000246860;ENSSSAT00000249077;ENSSSAT00000216536;ENSSSAT00000049283;ENSSSAT00000049314;ENSSSAT00000049476;ENSSSAT00000193623;ENSSSAT00000231154;ENSSSAT00000254442;ENSSSAT00000234492;ENSSSAT00000001005;ENSSSAT00000207361;ENSSSAT00000241597;ENSSSAT00000169803;ENSSSAT00000189612;ENSSSAT00000001052;ENSSSAT00000171716;ENSSSAT00000185853;ENSSSAT00000217045;ENSSSAT00000208234;ENSSSAT00000197100;ENSSSAT00000227350;ENSSSAT00000175489;ENSSSAT00000250017;ENSSSAT00000001231;ENSSSAT00000001284;ENSSSAT00000018574;ENSSSAT00000018448;ENSSSAT00000017842;ENSSSAT00000018661;ENSSSAT00000018775;ENSSSAT00000018833;ENSSSAT00000018563;ENSSSAT00000018952;ENSSSAT00000018959;ENSSSAT00000188241;ENSSSAT00000245996;ENSSSAT00000196239;ENSSSAT00000018996;ENSSSAT00000171451;ENSSSAT00000019011;ENSSSAT00000019005;ENSSSAT00000202790;ENSSSAT00000202136;ENSSSAT00000177156;ENSSSAT00000212131;ENSSSAT00000179860;ENSSSAT00000176242;ENSSSAT00000201655;ENSSSAT00000216069;ENSSSAT00000019104;ENSSSAT00000019129;ENSSSAT00000168281;ENSSSAT00000005854;ENSSSAT00000019241;ENSSSAT00000227726;ENSSSAT00000232016;ENSSSAT00000243248;ENSSSAT00000163624;ENSSSAT00000208245;ENSSSAT00000206295;ENSSSAT00000019458;ENSSSAT00000194392;ENSSSAT00000215289;ENSSSAT00000194164;ENSSSAT00000019476;ENSSSAT00000178187;ENSSSAT00000019487;ENSSSAT00000019548;ENSSSAT00000019504;ENSSSAT00000006799;ENSSSAT00000188466;ENSSSAT00000019704;ENSSSAT00000019665;ENSSSAT00000006849;ENSSSAT00000019797;ENSSSAT00000019806;ENSSSAT00000019818;ENSSSAT00000019856;ENSSSAT00000242288;ENSSSAT00000020141;ENSSSAT00000020089;ENSSSAT00000020152;ENSSSAT00000185143;ENSSSAT00000020222;ENSSSAT00000220843;ENSSSAT00000215315;ENSSSAT00000020367;ENSSSAT00000020380;ENSSSAT00000020389;ENSSSAT00000184587;ENSSSAT00000219214;ENSSSAT00000236533;ENSSSAT00000184862;ENSSSAT00000224881;ENSSSAT00000176351;ENSSSAT00000229300;ENSSSAT00000020676;ENSSSAT00000227601;ENSSSAT00000020657;ENSSSAT00000020609;ENSSSAT00000020622;ENSSSAT00000165290;ENSSSAT00000020664;ENSSSAT00000020692;ENSSSAT00000190792;ENSSSAT00000161247;ENSSSAT00000020874;ENSSSAT00000204622;ENSSSAT00000028642;ENSSSAT00000028541;ENSSSAT00000028466;ENSSSAT00000028297;ENSSSAT00000028340;ENSSSAT00000028364;ENSSSAT00000028443;ENSSSAT00000242582;ENSSSAT00000028776;ENSSSAT00000169877;ENSSSAT00000029005;ENSSSAT00000029019;ENSSSAT00000225459;ENSSSAT00000029599;ENSSSAT00000072478;ENSSSAT00000073646;ENSSSAT00000073861;ENSSSAT00000073879;ENSSSAT00000073653;ENSSSAT00000074245;ENSSSAT00000175677;ENSSSAT00000073721;ENSSSAT00000073954;ENSSSAT00000072820;ENSSSAT00000253754;ENSSSAT00000172818;ENSSSAT00000173340;ENSSSAT00000177513;ENSSSAT00000199111;ENSSSAT00000236829;ENSSSAT00000239260;ENSSSAT00000158229;ENSSSAT00000180442;ENSSSAT00000195762;ENSSSAT00000128259;ENSSSAT00000128286;ENSSSAT00000022255;ENSSSAT00000086483;ENSSSAT00000089454;ENSSSAT00000089492;ENSSSAT00000090252;ENSSSAT00000090031;ENSSSAT00000089707;ENSSSAT00000170450;ENSSSAT00000173657;ENSSSAT00000175446;ENSSSAT00000177857;ENSSSAT00000090622;ENSSSAT00000090644;ENSSSAT00000090616;ENSSSAT00000027518;ENSSSAT00000090609;ENSSSAT00000102928;ENSSSAT00000067494;ENSSSAT00000188205;ENSSSAT00000103025;ENSSSAT00000103019;ENSSSAT00000103234;ENSSSAT00000103312;ENSSSAT00000103248;ENSSSAT00000103056;ENSSSAT00000103257;ENSSSAT00000103353;ENSSSAT00000250019	289	47.3705570843078
1	16607520	16671239	63720	*	1	0.306520964415701	TRUE		ENSSSAT00000055659;ENSSSAT00000055409;ENSSSAT00000226779;ENSSSAT00000254253;ENSSSAT00000055829	5	78.4682988072819
1	16716711	16797959	81249	*	2	0.948163988788989	TRUE		ENSSSAT00000085201;ENSSSAT00000085011;ENSSSAT00000055887	3	36.9235313665399
1	16799524	16804071	4548	*	1	0.519535774869602	FALSE			0	0
