"seg.group","chromosome","n_segments","total_bp","mean_length","median_length","sd_length","min_length","q25_length","q75_length","max_length","mean_meth","median_meth","sd_meth","min_meth","q25_meth","q75_meth","max_meth","cv_meth","largest_segment","smallest_segment","prop_genome"
1,"NC_059442.1",29,1947272,67147.3103,31346,90551.6075,115,4497,83124,411632,0.5104,0.5452,0.1538,0.1628,0.423,0.6193,0.7401,0.3013,411632,115,0.0112
2,"NC_059442.1",26,171455177,6594429.8846,3422243.5,9685012.1686,6200,1703512.25,6427115,41554127,0.9032,0.9071,0.021,0.8511,0.8981,0.9135,0.9497,0.0233,41554127,6200,0.9888
1,"NC_059443.1",24,212226,8842.75,1643,25407.2753,132,478.5,3464.25,123945,0.0495,0.0395,0.0368,0.0047,0.0169,0.0784,0.1205,0.7425,123945,132,0.0023
2,"NC_059443.1",88,2908726,33053.7045,5182.5,99914.8704,108,1662.75,18687.25,720431,0.4209,0.4407,0.1504,0.1257,0.3139,0.5269,0.7331,0.3572,720431,108,0.0308
3,"NC_059443.1",101,91186801,902839.6139,66328,2262067.8027,1164,20547,472592,15519742,0.8567,0.8608,0.0492,0.7413,0.8171,0.894,0.9535,0.0575,15519742,1164,0.9669
1,"NC_059444.1",14,106787,7627.6429,717.5,23781.9014,182,627.5,1237.5,90110,0.0555,0.059,0.0093,0.0394,0.0471,0.0639,0.0664,0.1675,90110,182,0.001
2,"NC_059444.1",137,882912,6444.6131,1376,17452.7829,71,784,4352,122027,0.386,0.4057,0.1718,0.0077,0.2582,0.5294,0.7164,0.4449,122027,71,0.0084
3,"NC_059444.1",131,103655043,791259.8702,21807,2854623.0591,329,7613.5,95427.5,20368617,0.8402,0.8418,0.0506,0.7356,0.7992,0.8845,0.9345,0.0603,20368617,329,0.9905
1,"NC_059445.1",30,774018,25800.6,2966.5,43395.138,269,1151.5,32935.75,180046,0.2944,0.2725,0.2073,0.0133,0.0887,0.4451,0.7799,0.7042,180046,269,0.0086
2,"NC_059445.1",29,89208475,3076154.3103,643279,4685443.827,9266,87634,4894755,16666266,0.897,0.8983,0.0174,0.8643,0.8808,0.9078,0.9307,0.0194,16666266,9266,0.9914
1,"NC_059446.1",36,3403532,94542.5556,7428.5,256544.063,113,1343.75,60702,1424528,0.4169,0.4373,0.2397,0.0186,0.2156,0.5904,0.8285,0.5749,1424528,113,0.0371
